Year,Month,SOI,DMI
2002,1,2.7,-0.077
2002,2,7.7,-0.018
2002,3,-5.2,0.108
2002,4,-3.8,-0.277
2002,5,-14.5,-0.249
2002,6,-6.3,-0.076
2002,7,-7.6,-0.164
2002,8,-14.6,-0.096
2002,9,-8.2,0.392
2002,10,-7.4,0.565
2002,11,-6.0,0.22
2002,12,-10.6,-0.088
2003,1,-2.0,-0.174
2003,2,-7.4,0.097
2003,3,-6.8,0.061
2003,4,-5.5,-0.024
2003,5,-7.4,-0.084
2003,6,-12.0,0.252
2003,7,2.9,0.228
2003,8,-1.8,0.22
2003,9,-2.2,0.045
2003,10,-1.9,-0.084
2003,11,-3.4,-0.036
2003,12,9.3,0.258
2004,1,-11.6,0.109
2004,2,9.1,0.194
2004,3,0.2,0.177
2004,4,-15.4,-0.005
2004,5,13.1,-0.485
2004,6,-15.2,-0.27
2004,7,-6.9,-0.204
2004,8,-7.6,-0.02
2004,9,-2.8,0
2004,10,-3.7,0.155
2004,11,-8.6,-0.03
2004,12,-8.0,-0.063
2005,1,1.8,-0.058
2005,2,-28.6,-0.48
2005,3,0.2,-0.332
2005,4,-11.2,0.16
2005,5,-14.5,0.046
2005,6,2.6,-0.062
2005,7,0.9,-0.287
2005,8,-6.9,-0.233
2005,9,3.9,-0.428
2005,10,10.9,-0.276
2005,11,-2.0,-0.149
2005,12,0.1,-0.23
2006,1,12.7,-0.07
2006,2,0.1,-0.225
2006,3,13.8,-0.126
2006,4,14.4,0.06
2006,5,-9.8,-0.128
2006,6,-6.3,0.055
2006,7,-7.6,0.137
2006,8,-15.9,0.341
2006,9,-5.8,0.534
2006,10,-16.0,0.736
2006,11,-1.4,0.624
2006,12,-3.5,0.241
2007,1,-7.8,0.29
2007,2,-2.7,0.23
2007,3,-1.4,0.216
2007,4,-3.0,0.175
2007,5,-2.7,0.349
2007,6,5.0,0.144
2007,7,-5.0,0.141
2007,8,2.7,0.349
2007,9,1.4,0.341
2007,10,5.4,0.227
2007,11,9.2,0.1
2007,12,14.4,-0.157
2008,1,14.1,0.18
2008,2,21.3,0.008
2008,3,12.2,0.197
2008,4,4.5,-0.078
2008,5,-3.5,0.258
2008,6,4.2,0.329
2008,7,2.2,0.343
2008,8,9.1,0.237
2008,9,13.5,0.192
2008,10,13.4,0.188
2008,11,17.1,-0.005
2008,12,13.3,0.016
2009,1,9.4,0.097
2009,2,14.8,0.243
2009,3,0.2,0.2
2009,4,8.6,0.201
2009,5,-7.4,0.336
2009,6,-2.3,0.214
2009,7,1.6,-0.095
2009,8,-5.0,0.008
2009,9,3.9,0.003
2009,10,-14.7,0.147
2009,11,-6.0,0.056
2009,12,-7.0,0.23
2010,1,-10.1,0.359
2010,2,-14.5,0.103
2010,3,-10.6,0.558
2010,4,15.2,0.445
2010,5,10.0,0.05
2010,6,1.8,-0.026
2010,7,20.5,0.096
2010,8,18.8,0.051
2010,9,24.9,-0.162
2010,10,18.3,-0.277
2010,11,16.4,-0.372
2010,12,27.1,-0.142
2011,1,19.9,0.257
2011,2,22.3,0.322
2011,3,21.4,0.467
2011,4,25.1,0.229
2011,5,2.1,-0.01
2011,6,0.2,0.169
2011,7,10.7,0.319
2011,8,2.1,0.457
2011,9,11.7,0.308
2011,10,7.3,0.516
2011,11,13.8,0.459
2011,12,23.0,-0.059
2012,1,9.4,0.111
2012,2,2.5,0.002
2012,3,2.9,0.126
2012,4,-7.1,-0.196
2012,5,-2.7,-0.29
2012,6,-10.4,0.115
2012,7,-1.7,0.643
2012,8,-5.0,0.764
2012,9,2.6,0.559
2012,10,2.4,0.27
2012,11,3.9,0.024
2012,12,-6.0,0.337
2013,1,-1.1,0.001
2013,2,-3.6,0.269
2013,3,10.5,0.183
2013,4,0.3,-0.222
2013,5,8.4,-0.426
2013,6,13.9,-0.383
2013,7,8.1,-0.083
2013,8,-0.5,-0.082
2013,9,3.9,-0.204
2013,10,-1.9,-0.009
2013,11,9.2,0.323
2013,12,0.6,0.21
2014,1,12.2,-0.036
2014,2,-1.3,-0.009
2014,3,-13.3,-0.051
2014,4,8.6,0.017
2014,5,4.4,-0.012
2014,6,-1.5,0.086
2014,7,-3.0,-0.266
2014,8,-11.4,-0.26
2014,9,-7.6,-0.039
2014,10,-8.0,0.3
2014,11,-10.0,0.133
2014,12,-5.5,0.116
2015,1,-7.8,-0.034
2015,2,0.6,-0.265
2015,3,-11.2,-0.141
2015,4,-3.8,0.067
2015,5,-13.7,0.32
2015,6,-12.0,0.41
2015,7,-14.7,0.322
2015,8,-19.8,0.68
2015,9,-17.8,0.4
2015,10,-20.2,0.642
2015,11,-5.3,0.47
2015,12,-9.1,0.341
2016,1,-19.7,0.331
2016,2,-19.7,-0.03
2016,3,-4.7,0.091
2016,4,-22.0,0.222
2016,5,2.8,-0.034
2016,6,5.8,-0.329
2016,7,4.2,-0.661
2016,8,5.3,-0.332
2016,9,13.5,-0.331
2016,10,-4.3,-0.212
2016,11,-0.7,-0.259
2016,12,2.6,-0.241
2017,1,1.3,-0.02
2017,2,-2.2,0.181
2017,3,5.1,0.457
2017,4,-6.3,0.574
2017,5,0.5,0.616
2017,6,-10.4,0.537
2017,7,8.1,0.617
2017,8,3.3,0.461
2017,9,6.9,0.14
2017,10,9.1,0.175
2017,11,11.8,0.412
2017,12,-1.4,0.179
2018,1,8.9,-0.135
2018,2,-6.0,0.295
2018,3,10.5,-0.02
2018,4,4.5,-0.008
2018,5,2.1,0.202
2018,6,-5.5,0.269
2018,7,1.6,0.15
2018,8,-6.9,0.234
2018,9,-10.0,0.71
2018,10,3.0,0.844
2018,11,-0.1,0.623
2018,12,9.3,0.379
2019,1,-0.6,0.452
2019,2,-13.5,0.496
2019,3,-6.8,0.325
2019,4,-1.3,0.333
2019,5,-9.0,0.619
2019,6,-10.4,0.719
2019,7,-5.6,0.693
2019,8,-4.4,0.548
2019,9,-12.4,0.999
2019,10,-5.6,1.123
2019,11,-9.3,0.958
2019,12,-5.5,0.312
2020,1,1.3,0.238
2020,2,-2.2,0.134
2020,3,-5.2,0.119
2020,4,-0.5,0.064
2020,5,2.8,0.378
2020,6,-9.6,0.568
2020,7,4.2,0.417
2020,8,9.8,-0.07
2020,9,10.5,-0.084
2020,10,4.2,0.233
2020,11,9.2,0.143
2020,12,16.9,0.1
2021,1,16.5,0.116
2021,2,11.5,0.323
2021,3,-0.3,0.367
